dateTime,value__bpm,value__confidence
2021-12-02 09:42:25,81.0,0.0
2021-12-02 09:42:30,,
2021-12-02 09:42:35,87.0,1.0
2021-12-02 09:42:40,92.0,1.0
2021-12-02 09:42:45,,
2021-12-02 09:42:50,93.0,0.0
2021-12-02 09:42:55,,
2021-12-02 09:43:00,,
2021-12-02 09:43:05,,
2021-12-02 09:43:10,,
2021-12-02 09:43:15,,
2021-12-02 09:43:20,,
2021-12-02 09:43:25,,
2021-12-02 09:43:30,,
2021-12-02 09:43:35,,
2021-12-02 09:43:40,,
2021-12-02 09:43:45,,
2021-12-02 09:43:50,,
2021-12-02 09:43:55,,
2021-12-02 09:44:00,,
2021-12-02 09:44:05,,
2021-12-02 09:44:10,,
2021-12-02 09:44:15,,
2021-12-02 09:44:20,,
2021-12-02 09:44:25,,
2021-12-02 09:44:30,,
2021-12-02 09:44:35,,
2021-12-02 09:44:40,,
2021-12-02 09:44:45,,
2021-12-02 09:44:50,,
2021-12-02 09:44:55,,
2021-12-02 09:45:00,,
2021-12-02 09:45:05,,
2021-12-02 09:45:10,,
2021-12-02 09:45:15,,
2021-12-02 09:45:20,,
2021-12-02 09:45:25,,
2021-12-02 09:45:30,,
2021-12-02 09:45:35,,
2021-12-02 09:45:40,,
2021-12-02 09:45:45,,
2021-12-02 09:45:50,,
2021-12-02 09:45:55,,
2021-12-02 09:46:00,,
2021-12-02 09:46:05,,
2021-12-02 09:46:10,,
2021-12-02 09:46:15,,
2021-12-02 09:46:20,,
2021-12-02 09:46:25,,
2021-12-02 09:46:30,,
2021-12-02 09:46:35,,
2021-12-02 09:46:40,,
2021-12-02 09:46:45,,
2021-12-02 09:46:50,,
2021-12-02 09:46:55,,
2021-12-02 09:47:00,,
2021-12-02 09:47:05,,
2021-12-02 09:47:10,,
2021-12-02 09:47:15,,
2021-12-02 09:47:20,,
2021-12-02 09:47:25,,
2021-12-02 09:47:30,,
2021-12-02 09:47:35,,
2021-12-02 09:47:40,,
2021-12-02 09:47:45,,
2021-12-02 09:47:50,,
2021-12-02 09:47:55,,
2021-12-02 09:48:00,,
2021-12-02 09:48:05,,
2021-12-02 09:48:10,,
2021-12-02 09:48:15,,
2021-12-02 09:48:20,,
2021-12-02 09:48:25,,
2021-12-02 09:48:30,,
2021-12-02 09:48:35,,
2021-12-02 09:48:40,,
2021-12-02 09:48:45,,
2021-12-02 09:48:50,,
2021-12-02 09:48:55,,
2021-12-02 09:49:00,,
2021-12-02 09:49:05,,
2021-12-02 09:49:10,,
2021-12-02 09:49:15,,
2021-12-02 09:49:20,,
2021-12-02 09:49:25,,
2021-12-02 09:49:30,,
2021-12-02 09:49:35,,
2021-12-02 09:49:40,,
2021-12-02 09:49:45,,
2021-12-02 09:49:50,,
2021-12-02 09:49:55,,
2021-12-02 09:50:00,,
2021-12-02 09:50:05,,
2021-12-02 09:50:10,,
2021-12-02 09:50:15,,
2021-12-02 09:50:20,,
2021-12-02 09:50:25,,
2021-12-02 09:50:30,,
2021-12-02 09:50:35,,
2021-12-02 09:50:40,,
2021-12-02 09:50:45,,
2021-12-02 09:50:50,,
2021-12-02 09:50:55,,
2021-12-02 09:51:00,,
2021-12-02 09:51:05,,
2021-12-02 09:51:10,,
2021-12-02 09:51:15,,
2021-12-02 09:51:20,,
2021-12-02 09:51:25,,
2021-12-02 09:51:30,,
2021-12-02 09:51:35,,
2021-12-02 09:51:40,,
2021-12-02 09:51:45,,
2021-12-02 09:51:50,,
2021-12-02 09:51:55,,
2021-12-02 09:52:00,,
2021-12-02 09:52:05,,
2021-12-02 09:52:10,,
2021-12-02 09:52:15,,
2021-12-02 09:52:20,,
2021-12-02 09:52:25,,
2021-12-02 09:52:30,,
2021-12-02 09:52:35,,
2021-12-02 09:52:40,,
2021-12-02 09:52:45,,
2021-12-02 09:52:50,,
2021-12-02 09:52:55,,
2021-12-02 09:53:00,,
2021-12-02 09:53:05,,
2021-12-02 09:53:10,,
2021-12-02 09:53:15,,
2021-12-02 09:53:20,,
2021-12-02 09:53:25,,
2021-12-02 09:53:30,,
2021-12-02 09:53:35,,
2021-12-02 09:53:40,,
2021-12-02 09:53:45,,
2021-12-02 09:53:50,,
2021-12-02 09:53:55,,
2021-12-02 09:54:00,,
2021-12-02 09:54:05,,
2021-12-02 09:54:10,,
2021-12-02 09:54:15,,
2021-12-02 09:54:20,,
2021-12-02 09:54:25,,
2021-12-02 09:54:30,,
2021-12-02 09:54:35,,
2021-12-02 09:54:40,,
2021-12-02 09:54:45,,
2021-12-02 09:54:50,,
2021-12-02 09:54:55,,
2021-12-02 09:55:00,,
2021-12-02 09:55:05,,
2021-12-02 09:55:10,,
2021-12-02 09:55:15,,
2021-12-02 09:55:20,,
2021-12-02 09:55:25,,
2021-12-02 09:55:30,,
2021-12-02 09:55:35,,
2021-12-02 09:55:40,,
2021-12-02 09:55:45,,
2021-12-02 09:55:50,,
2021-12-02 09:55:55,,
2021-12-02 09:56:00,,
2021-12-02 09:56:05,,
