"dateTime","value__bpm","value__confidence"
"11/17/21 08:00:20","93","2"
"11/17/21 08:00:25","95","2"
"11/17/21 08:00:30","97","2"
"11/17/21 08:00:35","98","3"
"11/17/21 08:00:40","98","2"
"11/17/21 08:00:55","98","1"
"11/17/21 08:01:00","97","1"
"11/17/21 08:01:10","97","2"
"11/17/21 08:01:25","97","2"
"11/17/21 08:01:35","96","2"
"11/17/21 08:01:45","95","2"
"11/17/21 08:01:50","93","1"
"11/17/21 08:01:55","99","1"
"11/17/21 08:02:05","100","1"
"11/17/21 08:02:10","101","1"
"11/17/21 08:02:15","100","1"
"11/17/21 08:02:20","102","1"
"11/17/21 08:02:25","99","2"
"11/17/21 08:02:30","98","1"
"11/17/21 08:02:35","100","1"
"11/17/21 08:02:45","102","1"
"11/17/21 08:02:50","103","1"
"11/17/21 08:02:55","104","1"
"11/17/21 08:03:00","105","1"
"11/17/21 08:03:05","102","1"
"11/17/21 08:03:10","100","1"
"11/17/21 08:03:20","102","2"
"11/17/21 08:03:25","102","2"
"11/17/21 08:03:30","102","1"
"11/17/21 08:03:40","104","2"
"11/17/21 08:03:55","105","1"
"11/17/21 08:04:10","106","1"
"11/17/21 08:04:20","107","1"
"11/17/21 08:04:25","108","2"
"11/17/21 08:04:30","109","2"
"11/17/21 08:04:35","111","2"
"11/17/21 08:04:40","110","2"
"11/17/21 08:04:50","111","1"
"11/17/21 08:04:55","110","1"
"11/17/21 08:05:00","108","1"
"11/17/21 08:05:05","107","1"
"11/17/21 08:05:10","103","1"
"11/17/21 08:05:15","105","1"
"11/17/21 08:05:20","106","1"
"11/17/21 08:05:25","103","1"
"11/17/21 08:05:30","105","1"
"11/17/21 08:05:35","104","1"
"11/17/21 08:05:40","106","1"
"11/17/21 08:05:50","108","1"
"11/17/21 08:05:55","106","1"
"11/17/21 08:06:00","105","1"
"11/17/21 08:06:10","107","1"
"11/17/21 08:06:15","109","1"
"11/17/21 08:06:25","110","1"
"11/17/21 08:06:30","109","1"
"11/17/21 08:06:35","109","2"
"11/17/21 08:06:40","109","1"
"11/17/21 08:06:45","108","1"
"11/17/21 08:06:50","109","1"
"11/17/21 08:07:05","109","1"
"11/17/21 08:07:10","107","1"
"11/17/21 08:07:20","108","1"
"11/17/21 08:07:35","107","1"
"11/17/21 08:07:50","109","1"
"11/17/21 08:07:55","106","1"
"11/17/21 08:08:00","104","1"
"11/17/21 08:08:05","107","1"
"11/17/21 08:08:20","107","1"
"11/17/21 08:08:25","103","1"
"11/17/21 08:08:30","102","1"
"11/17/21 08:08:35","101","1"
"11/17/21 08:08:40","100","1"
"11/17/21 08:08:45","97","3"
"11/17/21 08:08:50","96","3"
"11/17/21 08:08:55","96","2"
"11/17/21 08:09:00","96","1"
"11/17/21 08:09:05","98","2"
"11/17/21 08:09:10","103","2"
"11/17/21 08:09:20","103","1"
"11/17/21 08:09:25","107","1"
"11/17/21 08:09:30","109","2"
"11/17/21 08:09:35","108","1"
"11/17/21 08:09:50","108","1"
"11/17/21 08:10:00","107","1"
"11/17/21 08:10:05","106","1"
"11/17/21 08:10:10","103","1"
"11/17/21 08:10:15","104","1"
"11/17/21 08:10:20","103","1"
"11/17/21 08:10:30","102","1"
"11/17/21 08:10:35","101","1"
"11/17/21 08:10:40","102","1"
"11/17/21 08:10:45","101","1"
"11/17/21 08:10:50","100","1"
"11/17/21 08:10:55","101","1"
"11/17/21 08:11:05","102","1"
"11/17/21 08:11:10","103","1"
"11/17/21 08:11:15","104","1"
"11/17/21 08:11:20","105","1"
"11/17/21 08:11:30","107","1"
"11/17/21 08:11:35","103","1"
"11/17/21 08:11:40","100","2"
"11/17/21 08:11:45","101","1"
"11/17/21 08:11:50","99","1"
"11/17/21 08:11:55","100","1"
"11/17/21 08:12:00","99","1"
"11/17/21 08:12:15","100","1"
"11/17/21 08:12:25","98","1"
"11/17/21 08:12:30","98","2"
"11/17/21 08:12:35","98","2"
"11/17/21 08:12:40","99","2"
"11/17/21 08:12:45","100","2"
"11/17/21 08:12:50","102","2"
"11/17/21 08:12:55","103","2"
"11/17/21 08:13:00","102","2"
"11/17/21 08:13:05","102","1"
"11/17/21 08:13:20","104","1"
"11/17/21 08:13:25","103","1"
"11/17/21 08:13:35","99","1"
"11/17/21 08:13:40","101","1"
"11/17/21 08:13:45","102","1"
"11/17/21 08:14:00","102","1"
"11/17/21 08:14:05","102","2"
"11/17/21 08:14:20","102","2"
"11/17/21 08:14:35","103","2"
"11/17/21 08:14:45","103","1"
"11/17/21 08:14:50","102","1"
"11/17/21 08:14:55","103","1"
"11/17/21 08:15:00","104","1"
"11/17/21 08:15:05","106","1"
"11/17/21 08:15:10","107","1"
"11/17/21 08:15:20","109","2"
"11/17/21 08:15:25","107","1"
"11/17/21 08:15:30","105","2"
"11/17/21 08:15:35","104","1"
"11/17/21 08:15:45","106","1"
"11/17/21 08:15:50","105","1"
"11/17/21 08:16:05","106","1"
"11/17/21 08:16:10","106","2"
"11/17/21 08:16:15","107","2"
"11/17/21 08:16:20","106","2"
"11/17/21 08:16:25","105","2"
"11/17/21 08:16:30","103","2"
"11/17/21 08:16:40","102","2"
"11/17/21 08:16:45","102","1"
"11/17/21 08:16:50","103","1"
"11/17/21 08:16:55","105","1"
"11/17/21 08:17:00","107","1"
"11/17/21 08:17:05","108","2"
"11/17/21 08:17:10","109","1"
"11/17/21 08:17:15","110","1"
"11/17/21 08:17:20","109","1"
"11/17/21 08:17:25","110","1"
"11/17/21 08:17:30","112","1"
"11/17/21 08:17:40","113","1"
"11/17/21 08:17:45","115","1"
"11/17/21 08:18:00","113","1"
"11/17/21 08:18:05","115","1"
"11/17/21 08:18:10","114","1"
"11/17/21 08:18:24","112","1"
"11/17/21 08:18:29","113","1"
"11/17/21 08:18:39","114","1"
"11/17/21 08:18:44","119","1"
"11/17/21 08:18:49","120","1"
"11/17/21 08:18:54","128","1"
"11/17/21 08:18:59","130","1"
"11/17/21 08:19:09","127","1"
"11/17/21 08:19:14","121","1"
"11/17/21 08:19:19","122","1"
"11/17/21 08:19:24","129","1"
"11/17/21 08:19:29","133","1"
"11/17/21 08:19:34","135","1"
"11/17/21 08:19:39","134","1"
"11/17/21 08:19:44","129","1"
"11/17/21 08:19:49","125","1"
"11/17/21 08:19:54","129","1"
"11/17/21 08:19:59","128","1"
"11/17/21 08:20:04","130","1"
"11/17/21 08:20:09","129","1"
"11/17/21 08:20:14","127","1"
"11/17/21 08:20:19","124","1"
"11/17/21 08:20:24","121","1"
"11/17/21 08:20:29","120","1"
"11/17/21 08:20:34","122","1"
"11/17/21 08:20:39","125","1"
"11/17/21 08:20:44","123","1"
"11/17/21 08:20:49","127","1"
"11/17/21 08:20:54","125","1"
"11/17/21 08:20:59","123","1"
"11/17/21 08:21:04","125","1"
"11/17/21 08:21:09","128","1"
"11/17/21 08:21:19","130","1"
"11/17/21 08:21:24","132","1"
"11/17/21 08:21:29","133","1"
"11/17/21 08:21:34","136","1"
"11/17/21 08:21:39","135","1"
"11/17/21 08:21:44","136","2"
"11/17/21 08:21:49","138","2"
"11/17/21 08:21:54","139","2"
"11/17/21 08:22:04","140","1"
"11/17/21 08:22:09","139","2"
"11/17/21 08:22:14","138","1"
"11/17/21 08:22:19","133","1"
"11/17/21 08:22:24","137","1"
"11/17/21 08:22:29","144","1"
"11/17/21 08:22:34","147","1"
"11/17/21 08:22:39","150","2"
"11/17/21 08:22:44","149","1"
"11/17/21 08:22:49","152","2"
"11/17/21 08:22:59","153","2"
"11/17/21 08:23:04","152","1"
"11/17/21 08:23:09","151","1"
"11/17/21 08:23:14","150","1"
"11/17/21 08:23:29","150","1"
"11/17/21 08:23:34","152","1"
"11/17/21 08:23:39","154","1"
"11/17/21 08:23:44","156","1"
"11/17/21 08:23:49","157","2"
"11/17/21 08:23:54","159","1"
"11/17/21 08:24:09","159","1"
"11/17/21 08:24:14","158","1"
"11/17/21 08:24:19","160","1"
"11/17/21 08:24:29","159","1"
"11/17/21 08:24:34","159","2"
"11/17/21 08:24:39","157","2"
"11/17/21 08:24:49","156","2"
"11/17/21 08:24:54","154","1"
"11/17/21 08:24:59","147","1"
"11/17/21 08:25:04","143","2"
"11/17/21 08:25:09","136","2"
"11/17/21 08:25:14","138","2"
"11/17/21 08:25:19","137","2"
"11/17/21 08:25:24","136","2"
"11/17/21 08:25:29","134","1"
"11/17/21 08:25:34","131","1"
"11/17/21 08:25:39","130","1"
"11/17/21 08:25:44","127","1"
"11/17/21 08:25:49","129","2"
"11/17/21 08:26:04","129","2"
"11/17/21 08:26:09","127","1"
"11/17/21 08:26:14","120","1"
"11/17/21 08:26:19","118","1"
"11/17/21 08:26:24","122","2"
"11/17/21 08:26:29","124","2"
"11/17/21 08:26:39","125","2"
"11/17/21 08:26:44","127","2"
"11/17/21 08:26:49","128","2"
"11/17/21 08:26:54","127","1"
"11/17/21 08:26:59","121","1"
"11/17/21 08:27:09","124","1"
"11/17/21 08:27:14","129","1"
"11/17/21 08:27:19","130","1"
"11/17/21 08:27:24","132","1"
"11/17/21 08:27:29","133","1"
"11/17/21 08:27:34","134","1"
"11/17/21 08:27:39","133","1"
"11/17/21 08:27:44","134","1"
"11/17/21 08:27:49","134","2"
"11/17/21 08:27:54","132","1"
"11/17/21 08:27:59","131","2"
"11/17/21 08:28:09","130","2"
"11/17/21 08:28:14","128","2"
"11/17/21 08:28:19","124","2"
"11/17/21 08:28:24","123","2"
"11/17/21 08:28:29","121","2"
"11/17/21 08:28:34","120","1"
"11/17/21 08:28:39","119","1"
"11/17/21 08:28:49","121","1"
"11/17/21 08:28:54","123","1"
"11/17/21 08:28:59","124","1"
"11/17/21 08:29:04","125","1"
"11/17/21 08:29:09","129","1"
"11/17/21 08:29:14","133","1"
"11/17/21 08:29:19","135","1"
"11/17/21 08:29:24","136","1"
"11/17/21 08:29:29","137","1"
"11/17/21 08:29:44","138","2"
"11/17/21 08:29:59","139","1"
"11/17/21 08:30:04","139","2"
"11/17/21 08:30:09","140","2"
"11/17/21 08:30:24","142","2"
"11/17/21 08:30:29","142","1"
"11/17/21 08:30:34","140","1"
"11/17/21 08:30:39","136","1"
"11/17/21 08:30:44","140","1"
"11/17/21 08:30:49","143","2"
"11/17/21 08:30:54","142","2"
"11/17/21 08:30:59","141","2"
"11/17/21 08:31:04","142","2"
"11/17/21 08:31:09","141","2"
"11/17/21 08:31:14","142","1"
"11/17/21 08:31:19","143","1"
"11/17/21 08:31:24","144","1"
"11/17/21 08:31:29","145","2"
"11/17/21 08:31:34","147","2"
"11/17/21 08:31:39","146","2"
"11/17/21 08:31:54","147","2"
"11/17/21 08:31:59","145","2"
"11/17/21 08:32:04","146","2"
"11/17/21 08:32:09","147","2"
"11/17/21 08:32:14","146","2"
"11/17/21 08:32:19","147","2"
"11/17/21 08:32:34","145","2"
"11/17/21 08:32:39","147","2"
"11/17/21 08:32:44","146","2"
"11/17/21 08:32:49","145","1"
"11/17/21 08:32:59","146","2"
"11/17/21 08:33:09","146","1"
"11/17/21 08:33:14","147","2"
"11/17/21 08:33:29","146","1"
"11/17/21 08:33:34","146","2"
"11/17/21 08:33:39","148","1"
"11/17/21 08:33:44","145","1"
"11/17/21 08:33:49","144","1"
"11/17/21 08:33:54","146","1"
"11/17/21 08:34:09","145","1"
"11/17/21 08:34:14","147","1"
"11/17/21 08:34:19","148","1"
"11/17/21 08:34:34","148","1"
"11/17/21 08:34:49","148","1"
"11/17/21 08:34:54","148","2"
"11/17/21 08:34:59","149","2"
"11/17/21 08:35:04","148","1"
"11/17/21 08:35:09","147","1"
"11/17/21 08:35:14","148","1"
"11/17/21 08:35:19","148","2"
"11/17/21 08:35:29","149","1"
"11/17/21 08:35:34","148","1"
"11/17/21 08:35:49","147","1"
"11/17/21 08:35:54","146","1"
"11/17/21 08:35:59","148","1"
"11/17/21 08:36:04","148","2"
"11/17/21 08:36:09","148","1"
"11/17/21 08:36:24","148","1"
"11/17/21 08:36:34","147","1"
"11/17/21 08:36:39","148","1"
"11/17/21 08:36:54","148","1"
"11/17/21 08:37:09","148","1"
"11/17/21 08:37:14","149","1"
"11/17/21 08:37:24","150","2"
"11/17/21 08:37:29","151","2"
"11/17/21 08:37:34","150","2"
"11/17/21 08:37:39","149","1"
"11/17/21 08:37:44","146","1"
"11/17/21 08:37:54","148","2"
"11/17/21 08:38:04","147","2"
"11/17/21 08:38:09","147","1"
"11/17/21 08:38:14","147","1"
"11/17/21 08:38:29","147","1"
"11/17/21 08:38:39","146","2"
"11/17/21 08:38:44","147","2"
"11/17/21 08:38:54","147","1"
"11/17/21 08:38:59","147","2"
"11/17/21 08:39:04","149","2"
"11/17/21 08:39:09","149","1"
"11/17/21 08:39:14","148","1"
"11/17/21 08:39:19","149","1"
"11/17/21 08:39:24","147","1"
"11/17/21 08:39:34","146","1"
"11/17/21 08:39:39","148","1"
"11/17/21 08:39:44","147","1"
"11/17/21 08:39:49","149","1"
"11/17/21 08:39:54","151","1"
"11/17/21 08:40:04","149","2"
"11/17/21 08:40:09","150","1"
"11/17/21 08:40:19","148","1"
"11/17/21 08:40:24","147","1"
"11/17/21 08:40:34","146","1"
"11/17/21 08:40:39","147","1"
"11/17/21 08:40:49","146","1"
"11/17/21 08:40:54","147","1"
"11/17/21 08:40:59","146","2"
"11/17/21 08:41:04","147","2"
"11/17/21 08:41:09","146","1"
"11/17/21 08:41:14","145","1"
"11/17/21 08:41:19","143","1"
"11/17/21 08:41:24","144","1"
"11/17/21 08:41:39","142","1"
"11/17/21 08:41:44","140","1"
"11/17/21 08:41:49","139","1"
"11/17/21 08:41:54","141","1"
"11/17/21 08:41:59","144","1"
"11/17/21 08:42:10","144","1"
"11/17/21 08:42:15","143","1"
"11/17/21 08:42:20","144","1"
"11/17/21 08:42:25","143","1"
"11/17/21 08:42:35","142","1"
"11/17/21 08:42:50","142","1"
"11/17/21 08:42:55","143","1"
"11/17/21 08:43:10","143","1"
"11/17/21 08:43:15","144","2"
"11/17/21 08:43:20","146","2"
"11/17/21 08:43:25","147","2"
"11/17/21 08:43:35","146","1"
"11/17/21 08:43:50","147","1"
"11/17/21 08:44:05","148","1"
"11/17/21 08:44:10","146","2"
"11/17/21 08:44:15","146","1"
"11/17/21 08:44:20","145","1"
"11/17/21 08:44:25","145","2"
