"dateTime","value__bpm","value__confidence"
"12/02/21 09:42:28","81","0"
"12/02/21 09:42:38","87","1"
"12/02/21 09:42:43","92","1"
"12/02/21 09:42:51","93","0"
"12/02/21 16:46:49","85","0"
"12/02/21 16:46:54","87","0"
"12/02/21 16:46:59","89","1"
"12/02/21 16:47:04","91","1"
"12/02/21 16:47:09","94","1"
"12/02/21 16:47:19","95","1"
"12/02/21 16:47:24","94","1"
"12/02/21 16:47:29","96","1"
"12/02/21 16:47:44","95","1"
"12/02/21 16:47:49","93","1"
"12/02/21 16:47:54","92","1"
"12/02/21 16:47:59","91","1"
"12/02/21 16:48:04","88","1"
"12/02/21 16:48:14","87","1"
"12/02/21 16:48:19","90","1"
"12/02/21 16:48:24","89","1"
"12/02/21 16:48:29","84","1"
"12/02/21 16:48:34","82","1"
"12/02/21 16:48:39","81","1"
"12/02/21 16:48:44","83","1"
"12/02/21 16:48:49","82","1"
"12/02/21 16:48:54","83","1"
"12/02/21 16:48:59","84","1"
"12/02/21 16:49:04","81","1"
"12/02/21 16:49:14","82","1"
"12/02/21 16:49:19","84","1"
"12/02/21 16:49:29","86","1"
"12/02/21 16:49:34","79","1"
"12/02/21 16:49:44","77","1"
"12/02/21 16:49:49","78","1"
"12/02/21 16:49:54","80","1"
"12/02/21 16:49:59","77","1"
"12/02/21 16:50:04","79","1"
"12/02/21 16:50:14","77","1"
"12/02/21 16:50:19","78","1"
"12/02/21 16:50:24","80","1"
"12/02/21 16:50:34","78","1"
"12/02/21 16:50:49","80","1"
"12/02/21 16:50:59","83","1"
"12/02/21 16:51:04","81","1"
"12/02/21 16:51:19","80","1"
"12/02/21 16:51:29","82","1"
"12/02/21 16:51:35","81","1"
"12/02/21 16:51:50","81","1"
"12/02/21 16:51:55","80","1"
"12/02/21 16:52:00","79","1"
"12/02/21 16:52:05","77","2"
"12/02/21 16:52:10","77","1"
"12/02/21 16:52:25","78","2"
"12/02/21 16:52:30","77","2"
"12/02/21 16:52:35","77","1"
"12/02/21 16:52:45","76","1"
"12/02/21 16:53:00","79","1"
"12/02/21 16:53:05","82","1"
"12/02/21 16:53:10","83","1"
"12/02/21 16:53:15","80","1"
"12/02/21 16:53:20","83","1"
"12/02/21 16:53:25","85","1"
"12/02/21 16:53:30","87","1"
"12/02/21 16:53:35","88","2"
"12/02/21 16:53:40","89","1"
"12/02/21 16:53:45","90","1"
"12/02/21 16:53:50","87","2"
"12/02/21 16:53:55","85","1"
"12/02/21 16:54:00","82","2"
"12/02/21 16:54:05","84","2"
"12/02/21 16:54:10","85","1"
"12/02/21 16:54:15","86","1"
"12/02/21 16:54:20","85","1"
"12/02/21 16:54:25","85","1"
"12/02/21 16:54:30","83","1"
