"dateTime","value__bpm","value__confidence"
"11/29/21 09:10:28","113","0"
"11/29/21 09:27:16","91","0"
"11/29/21 09:27:26","94","1"
"11/29/21 09:27:31","93","1"
"11/29/21 09:27:36","96","1"
"11/29/21 09:27:41","98","1"
"11/29/21 09:27:46","99","1"
"11/29/21 09:27:51","100","1"
"11/29/21 09:27:56","101","1"
"11/29/21 09:28:01","102","1"
"11/29/21 09:28:16","103","1"
"11/29/21 09:28:21","104","1"
"11/29/21 09:28:26","105","1"
"11/29/21 09:28:31","104","1"
"11/29/21 09:28:46","104","1"
"11/29/21 09:28:51","105","1"
"11/29/21 09:28:56","106","1"
"11/29/21 09:29:01","102","1"
"11/29/21 09:29:06","101","1"
"11/29/21 09:29:11","100","1"
"11/29/21 09:29:16","99","1"
"11/29/21 09:29:21","97","1"
"11/29/21 09:29:26","96","1"
"11/29/21 09:29:31","91","1"
"11/29/21 09:29:36","88","2"
"11/29/21 09:29:41","87","2"
"11/29/21 09:29:46","85","2"
"11/29/21 09:29:51","84","2"
"11/29/21 09:29:56","84","2"
"11/29/21 09:30:01","86","2"
"11/29/21 09:30:16","86","2"
"11/29/21 09:30:21","85","2"
"11/29/21 09:30:31","86","1"
"11/29/21 09:30:46","88","1"
"11/29/21 09:30:51","87","1"
"11/29/21 09:30:56","86","1"
"11/29/21 09:31:01","87","2"
"11/29/21 09:31:06","88","1"
"11/29/21 09:31:16","87","1"
"11/29/21 09:31:26","87","2"
"11/29/21 09:31:31","85","2"
"11/29/21 09:31:36","86","2"
"11/29/21 09:31:41","85","2"
"11/29/21 09:31:51","84","2"
"11/29/21 09:31:56","84","3"
"11/29/21 09:32:01","83","3"
"11/29/21 09:32:06","83","2"
"11/29/21 09:32:11","82","2"
"11/29/21 09:32:16","82","3"
"11/29/21 09:32:21","83","2"
"11/29/21 09:32:32","83","2"
"11/29/21 09:32:47","83","3"
"11/29/21 09:32:52","82","3"
"11/29/21 09:32:57","82","2"
"11/29/21 09:33:12","82","2"
"11/29/21 09:33:17","82","3"
"11/29/21 09:33:22","83","2"
"11/29/21 09:33:27","84","2"
"11/29/21 09:33:32","85","2"
"11/29/21 09:33:37","84","2"
"11/29/21 09:33:52","84","2"
"11/29/21 09:33:57","85","2"
"11/29/21 09:34:02","88","1"
"11/29/21 09:34:07","90","1"
"11/29/21 09:34:12","89","1"
"11/29/21 09:34:17","86","1"
"11/29/21 09:34:22","86","2"
"11/29/21 09:34:32","85","2"
"11/29/21 09:34:37","86","2"
"11/29/21 09:34:47","83","1"
"11/29/21 09:34:52","84","1"
"11/29/21 09:35:02","84","2"
"11/29/21 09:35:07","85","3"
"11/29/21 09:35:12","85","2"
"11/29/21 09:35:17","86","2"
"11/29/21 09:35:27","87","2"
"11/29/21 09:35:32","87","1"
"11/29/21 09:35:37","88","2"
"11/29/21 09:35:52","86","3"
"11/29/21 09:35:57","85","3"
"11/29/21 09:36:02","84","3"
"11/29/21 09:36:17","84","3"
"11/29/21 09:36:32","83","2"
"11/29/21 09:36:37","80","3"
"11/29/21 09:36:47","81","3"
"11/29/21 09:36:57","82","3"
"11/29/21 09:37:07","84","3"
"11/29/21 09:37:12","85","2"
"11/29/21 09:37:22","84","2"
"11/29/21 09:37:27","83","2"
"11/29/21 09:37:32","82","2"
"11/29/21 09:37:42","81","2"
"11/29/21 09:37:47","81","3"
"11/29/21 09:37:52","82","3"
"11/29/21 09:37:57","82","2"
"11/29/21 09:38:02","81","2"
"11/29/21 09:38:07","80","3"
"11/29/21 09:38:12","81","3"
"11/29/21 09:38:27","82","2"
"11/29/21 09:38:42","83","2"
"11/29/21 09:38:47","84","3"
"11/29/21 09:38:57","85","3"
"11/29/21 09:39:12","85","3"
"11/29/21 09:39:22","84","3"
"11/29/21 09:39:27","86","2"
"11/29/21 09:39:32","88","2"
"11/29/21 09:39:37","90","3"
"11/29/21 09:39:42","91","2"
"11/29/21 09:39:47","90","2"
"11/29/21 09:39:52","91","2"
"11/29/21 09:40:02","92","2"
"11/29/21 09:40:17","93","2"
"11/29/21 09:40:32","92","2"
"11/29/21 09:40:37","91","2"
"11/29/21 09:40:42","89","2"
"11/29/21 09:40:47","83","3"
"11/29/21 09:40:52","81","3"
"11/29/21 09:40:57","81","2"
"11/29/21 09:41:12","81","3"
"11/29/21 09:41:17","81","2"
"11/29/21 09:41:22","82","3"
"11/29/21 09:41:27","81","3"
"11/29/21 09:41:42","82","2"
"11/29/21 09:41:52","82","3"
"11/29/21 09:41:57","81","3"
"11/29/21 09:42:07","82","3"
"11/29/21 09:42:17","83","2"
"11/29/21 09:42:22","84","2"
"11/29/21 09:42:32","85","2"
"11/29/21 09:42:37","86","3"
"11/29/21 09:42:42","87","2"
"11/29/21 09:42:47","86","2"
"11/29/21 09:42:52","85","2"
"11/29/21 09:42:57","81","3"
"11/29/21 09:43:02","79","3"
"11/29/21 09:43:12","80","2"
"11/29/21 09:43:17","81","2"
"11/29/21 09:43:22","82","2"
"11/29/21 09:43:27","81","2"
"11/29/21 09:43:32","81","3"
"11/29/21 09:43:47","81","3"
"11/29/21 09:43:57","82","2"
"11/29/21 09:44:02","83","2"
"11/29/21 09:44:12","83","3"
"11/29/21 09:44:17","82","3"
"11/29/21 09:44:32","82","3"
"11/29/21 09:44:47","82","3"
"11/29/21 09:45:02","82","3"
"11/29/21 09:45:07","83","3"
"11/29/21 09:45:17","84","3"
"11/29/21 09:45:22","84","2"
"11/29/21 09:45:37","84","2"
"11/29/21 09:45:47","82","2"
"11/29/21 09:45:52","79","3"
"11/29/21 09:45:57","81","3"
"11/29/21 09:46:07","83","3"
"11/29/21 09:46:12","84","3"
"11/29/21 09:46:17","85","3"
"11/29/21 09:46:22","86","3"
"11/29/21 09:46:27","88","3"
"11/29/21 09:46:32","89","3"
"11/29/21 09:46:37","91","3"
"11/29/21 09:46:42","89","3"
"11/29/21 09:46:47","88","3"
"11/29/21 09:47:02","87","3"
"11/29/21 09:47:17","87","3"
"11/29/21 09:47:27","88","3"
"11/29/21 09:47:32","89","3"
"11/29/21 09:47:37","92","3"
"11/29/21 09:47:47","90","3"
"11/29/21 09:47:52","88","3"
"11/29/21 09:48:02","86","3"
"11/29/21 09:48:07","85","3"
"11/29/21 09:48:22","86","3"
"11/29/21 09:48:27","88","3"
"11/29/21 09:48:32","90","3"
"11/29/21 09:48:37","91","3"
"11/29/21 09:48:47","90","3"
"11/29/21 09:48:52","89","3"
"11/29/21 09:49:07","89","3"
"11/29/21 09:49:12","87","3"
"11/29/21 09:49:17","86","3"
"11/29/21 09:49:32","86","3"
"11/29/21 09:49:37","87","3"
"11/29/21 09:49:42","86","3"
"11/29/21 09:49:47","87","3"
"11/29/21 09:50:02","86","3"
"11/29/21 09:50:17","87","3"
"11/29/21 09:50:22","87","2"
"11/29/21 09:50:37","87","2"
"11/29/21 09:50:42","88","2"
"11/29/21 09:50:52","89","2"
"11/29/21 09:50:57","90","2"
"11/29/21 09:51:02","91","2"
"11/29/21 09:51:12","90","2"
"11/29/21 09:51:17","89","2"
"11/29/21 09:51:27","89","1"
"11/29/21 09:51:32","90","1"
"11/29/21 09:51:37","91","1"
"11/29/21 09:51:42","89","1"
"11/29/21 09:51:47","85","1"
"11/29/21 09:51:52","77","1"
"11/29/21 09:51:57","70","1"
"11/29/21 09:52:07","71","1"
"11/29/21 09:52:12","73","1"
"11/29/21 09:52:22","74","0"
"11/29/21 09:52:27","76","0"
"11/29/21 09:52:32","77","0"
"11/29/21 09:52:37","79","0"
"11/29/21 09:52:42","80","0"
"11/29/21 09:52:47","82","0"
"11/29/21 09:52:52","88","1"
"11/29/21 09:52:57","88","1"
"11/29/21 09:53:07","90","1"
"11/29/21 09:53:12","92","2"
"11/29/21 09:53:22","93","2"
"11/29/21 09:53:32","92","2"
"11/29/21 09:53:47","93","2"
"11/29/21 09:54:02","92","2"
"11/29/21 09:54:17","92","2"
"11/29/21 09:54:27","93","2"
"11/29/21 09:54:42","90","2"
"11/29/21 09:54:47","89","1"
"11/29/21 09:54:57","90","1"
"11/29/21 09:55:02","89","1"
"11/29/21 09:55:17","89","1"
"11/29/21 09:55:22","88","1"
"11/29/21 09:55:37","88","1"
"11/29/21 09:55:47","87","1"
"11/29/21 09:55:52","88","1"
"11/29/21 09:56:02","89","1"
"11/29/21 09:56:07","91","1"
"11/29/21 09:56:12","92","2"
"11/29/21 09:56:22","93","2"
"11/29/21 09:56:27","95","1"
"11/29/21 09:56:32","98","2"
"11/29/21 09:56:37","100","2"
"11/29/21 09:56:42","102","2"
"11/29/21 09:56:47","105","2"
"11/29/21 09:56:52","107","2"
"11/29/21 09:57:02","112","2"
"11/29/21 09:57:07","114","2"
"11/29/21 09:57:12","117","1"
"11/29/21 09:57:17","115","1"
"11/29/21 09:57:22","117","1"
"11/29/21 09:57:27","119","1"
"11/29/21 09:57:32","120","1"
"11/29/21 09:57:37","120","2"
"11/29/21 09:57:42","121","2"
"11/29/21 09:57:47","121","1"
"11/29/21 09:57:52","120","2"
"11/29/21 09:57:57","121","2"
"11/29/21 09:58:07","120","2"
"11/29/21 09:58:17","118","2"
"11/29/21 09:58:22","119","2"
"11/29/21 09:58:27","116","1"
"11/29/21 09:58:32","114","2"
"11/29/21 09:58:37","116","2"
"11/29/21 09:58:42","118","2"
"11/29/21 09:58:47","116","1"
"11/29/21 09:58:52","115","2"
"11/29/21 09:58:57","114","2"
"11/29/21 09:59:07","113","2"
"11/29/21 09:59:12","114","1"
"11/29/21 09:59:17","114","2"
"11/29/21 09:59:22","114","1"
"11/29/21 09:59:27","112","1"
"11/29/21 09:59:32","111","1"
"11/29/21 09:59:37","113","2"
"11/29/21 09:59:42","114","2"
"11/29/21 09:59:47","117","2"
"11/29/21 09:59:52","116","2"
"11/29/21 09:59:57","117","2"
"11/29/21 10:00:02","116","2"
"11/29/21 10:00:07","117","2"
"11/29/21 10:00:12","115","2"
"11/29/21 10:00:17","114","2"
"11/29/21 10:00:27","115","2"
"11/29/21 10:00:32","116","2"
"11/29/21 10:00:37","117","2"
"11/29/21 10:00:42","118","2"
"11/29/21 10:00:57","119","2"
"11/29/21 10:01:02","118","2"
"11/29/21 10:01:07","116","2"
"11/29/21 10:01:12","115","1"
"11/29/21 10:01:22","112","1"
"11/29/21 10:01:27","110","1"
"11/29/21 10:01:32","105","1"
"11/29/21 10:01:37","103","1"
"11/29/21 10:01:52","101","1"
"11/29/21 10:01:57","98","1"
"11/29/21 10:02:02","96","1"
"11/29/21 10:02:17","101","1"
"11/29/21 10:02:22","103","1"
"11/29/21 10:02:27","104","1"
"11/29/21 10:02:32","107","1"
"11/29/21 10:02:37","105","1"
"11/29/21 10:02:42","107","1"
"11/29/21 10:02:47","111","1"
"11/29/21 10:02:52","108","1"
"11/29/21 10:02:57","111","1"
"11/29/21 10:03:02","113","1"
"11/29/21 10:03:07","118","1"
"11/29/21 10:03:12","125","1"
"11/29/21 10:03:17","124","1"
"11/29/21 10:03:22","125","1"
"11/29/21 10:03:27","127","1"
"11/29/21 10:03:37","128","1"
"11/29/21 10:03:42","131","1"
"11/29/21 10:03:47","130","2"
"11/29/21 10:03:52","129","2"
"11/29/21 10:04:02","128","2"
"11/29/21 10:04:07","127","2"
"11/29/21 10:04:12","128","2"
"11/29/21 10:04:17","129","2"
"11/29/21 10:04:22","130","2"
"11/29/21 10:04:27","131","2"
"11/29/21 10:04:32","128","1"
"11/29/21 10:04:37","130","1"
"11/29/21 10:04:42","129","2"
"11/29/21 10:04:47","129","2"
"11/29/21 10:05:02","129","1"
"11/29/21 10:05:07","130","2"
"11/29/21 10:05:12","131","1"
"11/29/21 10:05:17","127","1"
"11/29/21 10:05:27","124","1"
"11/29/21 10:05:32","120","1"
"11/29/21 10:05:37","124","1"
"11/29/21 10:05:42","126","2"
"11/29/21 10:05:47","125","1"
"11/29/21 10:05:52","120","1"
"11/29/21 10:05:57","125","1"
"11/29/21 10:06:07","124","1"
"11/29/21 10:06:12","122","1"
"11/29/21 10:06:17","121","1"
"11/29/21 10:06:22","120","1"
"11/29/21 10:06:27","119","1"
"11/29/21 10:06:32","121","1"
"11/29/21 10:06:42","125","1"
"11/29/21 10:06:52","123","1"
"11/29/21 10:06:57","122","1"
"11/29/21 10:07:02","127","1"
"11/29/21 10:07:07","128","1"
"11/29/21 10:07:12","133","1"
"11/29/21 10:07:17","135","1"
"11/29/21 10:07:27","138","1"
"11/29/21 10:07:32","136","1"
"11/29/21 10:07:37","140","1"
"11/29/21 10:07:42","142","1"
"11/29/21 10:07:52","145","1"
"11/29/21 10:07:57","143","1"
"11/29/21 10:08:02","134","1"
"11/29/21 10:08:07","139","1"
"11/29/21 10:08:12","140","1"
"11/29/21 10:08:17","141","1"
"11/29/21 10:08:22","136","1"
"11/29/21 10:08:27","135","1"
"11/29/21 10:08:32","136","1"
"11/29/21 10:08:37","137","1"
"11/29/21 10:08:42","139","1"
"11/29/21 10:08:47","140","1"
"11/29/21 10:08:52","142","1"
"11/29/21 10:08:57","138","1"
"11/29/21 10:09:03","143","1"
"11/29/21 10:09:08","145","1"
"11/29/21 10:09:13","147","1"
"11/29/21 10:09:18","144","1"
"11/29/21 10:09:23","145","1"
"11/29/21 10:09:28","144","1"
"11/29/21 10:09:33","146","1"
"11/29/21 10:09:38","153","1"
"11/29/21 10:09:43","157","1"
"11/29/21 10:09:53","159","2"
"11/29/21 10:09:58","160","2"
"11/29/21 10:10:03","161","2"
