"dateTime","value__bpm","value__confidence"
"12/01/21 10:53:36","71","0"
"12/01/21 10:53:46","70","1"
"12/01/21 10:53:51","73","1"
"12/01/21 10:53:56","80","1"
"12/01/21 10:54:01","81","1"
"12/01/21 10:54:06","80","1"
"12/01/21 10:54:11","81","1"
"12/01/21 10:54:16","82","1"
"12/01/21 10:54:21","90","1"
"12/01/21 10:54:26","91","1"
"12/01/21 10:54:31","92","1"
"12/01/21 10:54:36","93","1"
"12/01/21 10:54:41","94","1"
"12/01/21 10:54:46","90","1"
"12/01/21 10:54:51","87","1"
"12/01/21 10:55:06","89","1"
"12/01/21 10:55:16","88","1"
"12/01/21 10:55:21","87","1"
"12/01/21 10:55:26","91","1"
"12/01/21 10:55:36","88","1"
"12/01/21 10:55:41","86","1"
"12/01/21 10:55:46","91","1"
"12/01/21 10:55:56","94","1"
"12/01/21 10:56:06","95","1"
"12/01/21 10:56:11","98","1"
"12/01/21 10:56:21","104","3"
"12/01/21 10:56:26","102","3"
"12/01/21 10:56:31","101","2"
"12/01/21 10:56:36","99","2"
"12/01/21 10:56:41","98","2"
"12/01/21 10:56:46","99","2"
"12/01/21 10:56:51","99","3"
"12/01/21 10:57:02","98","2"
"12/01/21 10:57:12","97","1"
"12/01/21 10:57:17","98","1"
"12/01/21 10:57:22","96","3"
"12/01/21 10:57:27","91","3"
"12/01/21 10:57:32","88","3"
"12/01/21 10:57:37","87","2"
"12/01/21 10:57:42","90","2"
"12/01/21 10:57:57","92","3"
"12/01/21 10:58:02","94","3"
"12/01/21 10:58:07","96","3"
"12/01/21 10:58:12","95","2"
"12/01/21 10:58:17","95","1"
"12/01/21 10:58:22","98","3"
"12/01/21 10:58:27","99","1"
"12/01/21 10:58:35","102","2"
"12/01/21 10:58:45","70","0"
"12/01/21 10:58:55","82","0"
"12/01/21 10:59:00","87","2"
"12/01/21 10:59:15","87","2"
"12/01/21 10:59:25","88","2"
"12/01/21 10:59:30","93","2"
"12/01/21 10:59:35","94","2"
"12/01/21 10:59:50","95","3"
"12/01/21 10:59:55","98","3"
"12/01/21 11:00:00","97","3"
"12/01/21 11:00:05","96","3"
"12/01/21 11:00:10","93","3"
"12/01/21 11:00:15","93","2"
"12/01/21 11:00:25","93","1"
"12/01/21 11:00:30","95","1"
"12/01/21 11:00:35","95","3"
"12/01/21 11:00:40","96","2"
"12/01/21 11:00:50","92","3"
"12/01/21 11:00:55","90","3"
"12/01/21 11:01:00","88","3"
"12/01/21 11:01:05","85","3"
"12/01/21 11:01:10","83","2"
"12/01/21 11:01:15","83","1"
"12/01/21 11:01:25","84","1"
"12/01/21 11:01:30","86","1"
"12/01/21 11:01:35","84","2"
"12/01/21 11:01:40","83","3"
"12/01/21 11:01:45","85","3"
"12/01/21 11:01:50","86","3"
"12/01/21 11:02:00","87","2"
"12/01/21 11:02:05","87","3"
"12/01/21 11:02:10","84","2"
"12/01/21 11:02:15","85","2"
"12/01/21 11:02:30","87","2"
"12/01/21 11:02:45","87","2"
"12/01/21 11:02:55","90","3"
"12/01/21 11:03:05","91","3"
"12/01/21 11:03:10","92","2"
"12/01/21 11:03:25","94","2"
"12/01/21 11:03:30","95","2"
"12/01/21 11:03:35","97","1"
"12/01/21 11:03:40","98","1"
"12/01/21 11:03:45","100","2"
"12/01/21 11:03:50","99","2"
"12/01/21 11:03:55","98","2"
"12/01/21 11:04:00","96","1"
"12/01/21 11:04:10","92","3"
"12/01/21 11:04:15","87","3"
"12/01/21 11:04:20","83","1"
"12/01/21 11:04:25","86","1"
"12/01/21 11:04:30","89","1"
"12/01/21 11:04:35","91","1"
"12/01/21 11:04:40","96","1"
"12/01/21 11:04:45","98","1"
"12/01/21 11:05:00","98","1"
"12/01/21 11:05:10","97","1"
"12/01/21 11:05:15","92","1"
"12/01/21 11:05:20","90","2"
"12/01/21 11:05:25","88","2"
"12/01/21 11:05:30","88","1"
"12/01/21 11:05:40","84","3"
