,value__bpm,value__confidence,year,month,day,hour,minute,second,dateTime
1,84.60651397705078,2.7777388095855713,2021,11,18,0,0,5,2021-11-18 00:00:05
2,83.61858367919922,2.587798595428467,2021,11,18,0,0,10,2021-11-18 00:00:10
5,84.3444595336914,2.5423126220703125,2021,11,18,0,0,25,2021-11-18 00:00:25
7,83.04142761230469,2.5557305812835693,2021,11,18,0,0,35,2021-11-18 00:00:35
8,82.45198822021484,2.4578959941864014,2021,11,18,0,0,40,2021-11-18 00:00:40
13,84.64749145507812,2.725224256515503,2021,11,18,0,1,5,2021-11-18 00:01:05
21,82.83342742919922,2.718503713607788,2021,11,18,0,1,45,2021-11-18 00:01:45
26,82.88903045654297,2.6697607040405273,2021,11,18,0,2,10,2021-11-18 00:02:10
34,82.42469787597656,2.7534055709838867,2021,11,18,0,2,50,2021-11-18 00:02:50
39,82.05459594726562,2.538754463195801,2021,11,18,0,3,15,2021-11-18 00:03:15
43,79.8160400390625,2.5772294998168945,2021,11,18,0,3,35,2021-11-18 00:03:35
46,80.33954620361328,2.743405342102051,2021,11,18,0,3,50,2021-11-18 00:03:50
47,79.61670684814453,2.9636590480804443,2021,11,18,0,3,55,2021-11-18 00:03:55
59,79.33903503417969,2.997363805770874,2021,11,18,0,4,55,2021-11-18 00:04:55
61,80.56773376464844,2.949756145477295,2021,11,18,0,5,5,2021-11-18 00:05:05
65,82.1697998046875,2.8307666778564453,2021,11,18,0,5,25,2021-11-18 00:05:25
66,82.02513122558594,2.8626160621643066,2021,11,18,0,5,30,2021-11-18 00:05:30
68,80.96063995361328,2.8448293209075928,2021,11,18,0,5,40,2021-11-18 00:05:40
69,81.18665313720703,2.8183681964874268,2021,11,18,0,5,45,2021-11-18 00:05:45
73,81.30133819580078,2.884519338607788,2021,11,18,0,6,5,2021-11-18 00:06:05
79,83.72918701171875,2.7319610118865967,2021,11,18,0,6,35,2021-11-18 00:06:35
97,85.10721588134766,2.8701884746551514,2021,11,18,0,8,5,2021-11-18 00:08:05
99,85.02131652832031,2.892721176147461,2021,11,18,0,8,15,2021-11-18 00:08:15
100,84.75828552246094,2.9871084690093994,2021,11,18,0,8,20,2021-11-18 00:08:20
102,85.07196807861328,2.9637222290039062,2021,11,18,0,8,30,2021-11-18 00:08:30
103,84.9293212890625,2.952800989151001,2021,11,18,0,8,35,2021-11-18 00:08:35
107,86.87366485595703,2.664030075073242,2021,11,18,0,8,55,2021-11-18 00:08:55
111,84.91425323486328,2.930678606033325,2021,11,18,0,9,15,2021-11-18 00:09:15
112,84.39772033691406,3.0202548503875732,2021,11,18,0,9,20,2021-11-18 00:09:20
115,83.62660217285156,2.927133798599243,2021,11,18,0,9,35,2021-11-18 00:09:35
118,83.47785186767578,2.8620188236236572,2021,11,18,0,9,50,2021-11-18 00:09:50
122,81.92000579833984,3.030562162399292,2021,11,18,0,10,10,2021-11-18 00:10:10
125,84.1707992553711,3.0415170192718506,2021,11,18,0,10,25,2021-11-18 00:10:25
127,83.09068298339844,3.038560628890991,2021,11,18,0,10,35,2021-11-18 00:10:35
134,88.80866241455078,3.0572681427001953,2021,11,18,0,11,10,2021-11-18 00:11:10
138,82.44705963134766,3.036201238632202,2021,11,18,0,11,30,2021-11-18 00:11:30
139,82.07905578613281,2.984588861465454,2021,11,18,0,11,35,2021-11-18 00:11:35
143,83.0476303100586,3.0270261764526367,2021,11,18,0,11,55,2021-11-18 00:11:55
146,83.44715118408203,3.029270887374878,2021,11,18,0,12,10,2021-11-18 00:12:10
147,83.84683990478516,2.9223392009735107,2021,11,18,0,12,15,2021-11-18 00:12:15
151,83.44010925292969,2.9848899841308594,2021,11,18,0,12,35,2021-11-18 00:12:35
155,83.51071166992188,3.072819232940674,2021,11,18,0,12,55,2021-11-18 00:12:55
157,82.53498077392578,2.966625452041626,2021,11,18,0,13,5,2021-11-18 00:13:05
162,83.44318389892578,2.972872734069824,2021,11,18,0,13,30,2021-11-18 00:13:30
163,83.80884552001953,2.8880703449249268,2021,11,18,0,13,35,2021-11-18 00:13:35
168,84.07996368408203,3.0262768268585205,2021,11,18,0,14,0,2021-11-18 00:14:00
169,84.19633483886719,3.0428168773651123,2021,11,18,0,14,5,2021-11-18 00:14:05
175,85.06021118164062,2.8109607696533203,2021,11,18,0,14,35,2021-11-18 00:14:35
176,84.54219818115234,2.9767422676086426,2021,11,18,0,14,40,2021-11-18 00:14:40
181,83.3350601196289,3.0441770553588867,2021,11,18,0,15,5,2021-11-18 00:15:05
182,83.6846694946289,3.060567617416382,2021,11,18,0,15,10,2021-11-18 00:15:10
188,84.3148193359375,3.0228464603424072,2021,11,18,0,15,40,2021-11-18 00:15:40
191,84.96642303466797,2.961582899093628,2021,11,18,0,15,55,2021-11-18 00:15:55
192,83.32203674316406,2.863734006881714,2021,11,18,0,16,0,2021-11-18 00:16:00
194,83.83891296386719,3.0142135620117188,2021,11,18,0,16,10,2021-11-18 00:16:10
197,84.37837982177734,3.015807867050171,2021,11,18,0,16,25,2021-11-18 00:16:25
198,84.23768615722656,3.0531165599823,2021,11,18,0,16,30,2021-11-18 00:16:30
203,84.90830993652344,2.9826149940490723,2021,11,18,0,16,55,2021-11-18 00:16:55
204,84.15667724609375,3.0297653675079346,2021,11,18,0,17,0,2021-11-18 00:17:00
207,84.58360290527344,2.994926691055298,2021,11,18,0,17,15,2021-11-18 00:17:15
208,84.64571380615234,3.084502935409546,2021,11,18,0,17,20,2021-11-18 00:17:20
211,84.03131866455078,3.1023688316345215,2021,11,18,0,17,35,2021-11-18 00:17:35
214,83.74006652832031,3.096876859664917,2021,11,18,0,17,50,2021-11-18 00:17:50
215,84.86893463134766,3.003350257873535,2021,11,18,0,17,55,2021-11-18 00:17:55
217,83.68762969970703,2.994028091430664,2021,11,18,0,18,5,2021-11-18 00:18:05
218,83.98737335205078,3.010418653488159,2021,11,18,0,18,10,2021-11-18 00:18:10
222,83.87316131591797,2.9675209522247314,2021,11,18,0,18,30,2021-11-18 00:18:30
223,83.8677978515625,2.9600377082824707,2021,11,18,0,18,35,2021-11-18 00:18:35
227,84.94646453857422,2.9524669647216797,2021,11,18,0,18,55,2021-11-18 00:18:55
228,83.96930694580078,2.8385848999023438,2021,11,18,0,19,0,2021-11-18 00:19:00
231,84.92748260498047,2.8825509548187256,2021,11,18,0,19,15,2021-11-18 00:19:15
233,84.91081237792969,2.9238290786743164,2021,11,18,0,19,25,2021-11-18 00:19:25
235,84.6189193725586,2.916886806488037,2021,11,18,0,19,35,2021-11-18 00:19:35
239,85.87531280517578,2.8645873069763184,2021,11,18,0,19,55,2021-11-18 00:19:55
240,84.02590942382812,3.0328257083892822,2021,11,18,0,20,0,2021-11-18 00:20:00
244,85.23369598388672,2.9782145023345947,2021,11,18,0,20,20,2021-11-18 00:20:20
245,85.17920684814453,2.9299163818359375,2021,11,18,0,20,25,2021-11-18 00:20:25
247,84.7748794555664,3.0227279663085938,2021,11,18,0,20,35,2021-11-18 00:20:35
248,84.57247924804688,3.0808353424072266,2021,11,18,0,20,40,2021-11-18 00:20:40
260,85.33318328857422,3.1505846977233887,2021,11,18,0,21,40,2021-11-18 00:21:40
261,85.71316528320312,3.0910606384277344,2021,11,18,0,21,45,2021-11-18 00:21:45
264,87.20133209228516,2.9873650074005127,2021,11,18,0,22,0,2021-11-18 00:22:00
267,87.32505798339844,2.9909656047821045,2021,11,18,0,22,15,2021-11-18 00:22:15
269,87.47159576416016,3.0198941230773926,2021,11,18,0,22,25,2021-11-18 00:22:25
271,86.86920166015625,3.092477321624756,2021,11,18,0,22,35,2021-11-18 00:22:35
273,86.4570541381836,3.0910606384277344,2021,11,18,0,22,45,2021-11-18 00:22:45
274,86.44810485839844,3.1158607006073,2021,11,18,0,22,50,2021-11-18 00:22:50
277,87.40155029296875,3.0255863666534424,2021,11,18,0,23,5,2021-11-18 00:23:05
279,86.73046112060547,2.99420428276062,2021,11,18,0,23,15,2021-11-18 00:23:15
283,87.22103881835938,3.01169490814209,2021,11,18,0,23,35,2021-11-18 00:23:35
284,87.73384857177734,3.061035633087158,2021,11,18,0,23,40,2021-11-18 00:23:40
286,86.75889587402344,3.0050899982452393,2021,11,18,0,23,50,2021-11-18 00:23:50
288,86.60318756103516,3.079049587249756,2021,11,18,0,24,0,2021-11-18 00:24:00
289,87.41243743896484,3.014418363571167,2021,11,18,0,24,5,2021-11-18 00:24:05
295,86.56419372558594,3.0272891521453857,2021,11,18,0,24,35,2021-11-18 00:24:35
296,86.8688735961914,3.076629877090454,2021,11,18,0,24,40,2021-11-18 00:24:40
303,87.9349365234375,2.9411935806274414,2021,11,18,0,25,15,2021-11-18 00:25:15
307,87.8609848022461,2.972621440887451,2021,11,18,0,25,35,2021-11-18 00:25:35
313,89.56084442138672,2.9895379543304443,2021,11,18,0,26,5,2021-11-18 00:26:05
317,87.4106674194336,2.963191270828247,2021,11,18,0,26,25,2021-11-18 00:26:25
318,87.31300354003906,2.9760327339172363,2021,11,18,0,26,30,2021-11-18 00:26:30
320,87.89466857910156,2.9654390811920166,2021,11,18,0,26,40,2021-11-18 00:26:40
322,87.58580017089844,2.8797850608825684,2021,11,18,0,26,50,2021-11-18 00:26:50
323,87.44730377197266,3.0083587169647217,2021,11,18,0,26,55,2021-11-18 00:26:55
326,87.5136947631836,3.0540459156036377,2021,11,18,0,27,10,2021-11-18 00:27:10
328,87.72734832763672,3.0393340587615967,2021,11,18,0,27,20,2021-11-18 00:27:20
332,88.18142700195312,3.0582430362701416,2021,11,18,0,27,40,2021-11-18 00:27:40
334,88.43616485595703,2.994382619857788,2021,11,18,0,27,50,2021-11-18 00:27:50
335,88.52947235107422,2.901873826980591,2021,11,18,0,27,55,2021-11-18 00:27:55
337,87.86212158203125,2.9881393909454346,2021,11,18,0,28,5,2021-11-18 00:28:05
339,88.12372589111328,2.9412059783935547,2021,11,18,0,28,15,2021-11-18 00:28:15
341,87.84628295898438,2.933626413345337,2021,11,18,0,28,25,2021-11-18 00:28:25
