,value__bpm,value__confidence,year,month,day,hour,minute,second,dateTime
4,92.93775177001953,2.092893123626709,2021,12,4,0,0,20,2021-12-04 00:00:20
7,93.80724334716797,2.3963658809661865,2021,12,4,0,0,35,2021-12-04 00:00:35
11,92.27363586425781,1.7286756038665771,2021,12,4,0,0,55,2021-12-04 00:00:55
18,93.18885803222656,1.7350692749023438,2021,12,4,0,1,30,2021-12-04 00:01:30
19,94.26197814941406,2.1011438369750977,2021,12,4,0,1,35,2021-12-04 00:01:35
27,91.49030303955078,2.1003129482269287,2021,12,4,0,2,15,2021-12-04 00:02:15
30,94.18619537353516,1.9674413204193115,2021,12,4,0,2,30,2021-12-04 00:02:30
39,93.50599670410156,2.0291359424591064,2021,12,4,0,3,15,2021-12-04 00:03:15
48,96.81552124023438,1.5289660692214966,2021,12,4,0,4,0,2021-12-04 00:04:00
49,96.05073547363281,1.6461737155914307,2021,12,4,0,4,5,2021-12-04 00:04:05
52,93.67657470703125,2.2706027030944824,2021,12,4,0,4,20,2021-12-04 00:04:20
53,93.68496704101562,2.1522409915924072,2021,12,4,0,4,25,2021-12-04 00:04:25
55,95.16047668457031,2.3264548778533936,2021,12,4,0,4,35,2021-12-04 00:04:35
56,95.30876922607422,2.231992244720459,2021,12,4,0,4,40,2021-12-04 00:04:40
58,94.7484130859375,2.5157454013824463,2021,12,4,0,4,50,2021-12-04 00:04:50
62,95.3470458984375,2.5986931324005127,2021,12,4,0,5,10,2021-12-04 00:05:10
67,93.32953643798828,2.523941993713379,2021,12,4,0,5,35,2021-12-04 00:05:35
70,92.57632446289062,2.6499619483947754,2021,12,4,0,5,50,2021-12-04 00:05:50
71,93.24482727050781,1.8819634914398193,2021,12,4,0,5,55,2021-12-04 00:05:55
73,92.57642364501953,1.323278784751892,2021,12,4,0,6,5,2021-12-04 00:06:05
74,92.54375457763672,2.143174171447754,2021,12,4,0,6,10,2021-12-04 00:06:10
78,93.447998046875,1.8119990825653076,2021,12,4,0,6,30,2021-12-04 00:06:30
83,94.73191833496094,2.022627592086792,2021,12,4,0,6,55,2021-12-04 00:06:55
86,95.48497772216797,2.3384182453155518,2021,12,4,0,7,10,2021-12-04 00:07:10
91,95.09626007080078,2.382993698120117,2021,12,4,0,7,35,2021-12-04 00:07:35
93,95.5421142578125,1.8999556303024292,2021,12,4,0,7,45,2021-12-04 00:07:45
94,95.32096862792969,2.298100709915161,2021,12,4,0,7,50,2021-12-04 00:07:50
99,94.10920715332031,2.0125458240509033,2021,12,4,0,8,15,2021-12-04 00:08:15
100,94.62786865234375,2.5282838344573975,2021,12,4,0,8,20,2021-12-04 00:08:20
102,94.94624328613281,2.1420867443084717,2021,12,4,0,8,30,2021-12-04 00:08:30
108,94.09944152832031,2.251401662826538,2021,12,4,0,9,0,2021-12-04 00:09:00
112,93.73234558105469,2.723787784576416,2021,12,4,0,9,20,2021-12-04 00:09:20
115,93.90019989013672,2.1710660457611084,2021,12,4,0,9,35,2021-12-04 00:09:35
116,94.28459167480469,1.978217601776123,2021,12,4,0,9,40,2021-12-04 00:09:40
118,94.5334243774414,1.6167182922363281,2021,12,4,0,9,50,2021-12-04 00:09:50
119,94.95775604248047,1.1454921960830688,2021,12,4,0,9,55,2021-12-04 00:09:55
121,92.7874755859375,1.6727757453918457,2021,12,4,0,10,5,2021-12-04 00:10:05
123,92.66058349609375,1.8956276178359985,2021,12,4,0,10,15,2021-12-04 00:10:15
124,92.57638549804688,2.345313787460327,2021,12,4,0,10,20,2021-12-04 00:10:20
126,92.15143585205078,1.9402801990509033,2021,12,4,0,10,30,2021-12-04 00:10:30
127,92.52003479003906,2.175240993499756,2021,12,4,0,10,35,2021-12-04 00:10:35
129,92.96174621582031,2.0905885696411133,2021,12,4,0,10,45,2021-12-04 00:10:45
130,93.3528823852539,1.9972854852676392,2021,12,4,0,10,50,2021-12-04 00:10:50
137,93.81119537353516,1.9923356771469116,2021,12,4,0,11,25,2021-12-04 00:11:25
138,93.76721954345703,1.9856430292129517,2021,12,4,0,11,30,2021-12-04 00:11:30
145,95.98249816894531,0.9640735983848572,2021,12,4,0,12,5,2021-12-04 00:12:05
155,98.08822631835938,0.9029926061630249,2021,12,4,0,12,55,2021-12-04 00:12:55
160,93.47616577148438,3.0340633392333984,2021,12,4,0,13,20,2021-12-04 00:13:20
164,91.92262268066406,2.3631138801574707,2021,12,4,0,13,40,2021-12-04 00:13:40
167,93.82473754882812,1.5900378227233887,2021,12,4,0,13,55,2021-12-04 00:13:55
171,98.7752685546875,1.5563634634017944,2021,12,4,0,14,15,2021-12-04 00:14:15
190,99.97926330566406,1.069783091545105,2021,12,4,0,15,50,2021-12-04 00:15:50
194,99.63282012939453,1.3930296897888184,2021,12,4,0,16,10,2021-12-04 00:16:10
199,102.70506286621094,1.340330719947815,2021,12,4,0,16,35,2021-12-04 00:16:35
200,102.7476806640625,1.1179962158203125,2021,12,4,0,16,40,2021-12-04 00:16:40
210,117.83036804199219,1.0549832582473755,2021,12,4,0,17,30,2021-12-04 00:17:30
211,117.7610092163086,1.0937764644622803,2021,12,4,0,17,35,2021-12-04 00:17:35
221,120.5539779663086,1.1091278791427612,2021,12,4,0,18,25,2021-12-04 00:18:25
226,118.93700408935547,1.251089334487915,2021,12,4,0,18,50,2021-12-04 00:18:50
229,111.96017456054688,0.9050992727279663,2021,12,4,0,19,5,2021-12-04 00:19:05
243,104.75442504882812,1.089956521987915,2021,12,4,0,20,15,2021-12-04 00:20:15
245,104.85088348388672,1.0680912733078003,2021,12,4,0,20,25,2021-12-04 00:20:25
251,105.53589630126953,0.987699568271637,2021,12,4,0,20,55,2021-12-04 00:20:55
254,110.31806945800781,1.0975093841552734,2021,12,4,0,21,10,2021-12-04 00:21:10
257,109.92821502685547,1.061099886894226,2021,12,4,0,21,25,2021-12-04 00:21:25
260,109.45700073242188,0.9915241003036499,2021,12,4,0,21,40,2021-12-04 00:21:40
267,111.7054672241211,1.020206332206726,2021,12,4,0,22,15,2021-12-04 00:22:15
268,110.69456481933594,1.006771206855774,2021,12,4,0,22,20,2021-12-04 00:22:20
271,110.60901641845703,1.0638993978500366,2021,12,4,0,22,35,2021-12-04 00:22:35
273,109.15260314941406,1.0253111124038696,2021,12,4,0,22,45,2021-12-04 00:22:45
275,109.86170196533203,0.8582410216331482,2021,12,4,0,22,55,2021-12-04 00:22:55
284,110.5276107788086,1.9412301778793335,2021,12,4,0,23,40,2021-12-04 00:23:40
291,113.4365234375,1.1201491355895996,2021,12,4,0,24,15,2021-12-04 00:24:15
292,113.69246673583984,1.3189419507980347,2021,12,4,0,24,20,2021-12-04 00:24:20
294,113.76800537109375,1.86537766456604,2021,12,4,0,24,30,2021-12-04 00:24:30
296,113.8382797241211,1.8984133005142212,2021,12,4,0,24,40,2021-12-04 00:24:40
297,113.03313446044922,1.9308679103851318,2021,12,4,0,24,45,2021-12-04 00:24:45
309,108.0909423828125,1.8389091491699219,2021,12,4,0,25,45,2021-12-04 00:25:45
313,109.6078109741211,1.478561520576477,2021,12,4,0,26,5,2021-12-04 00:26:05
314,108.1440658569336,1.8147752285003662,2021,12,4,0,26,10,2021-12-04 00:26:10
320,106.13236999511719,1.3985422849655151,2021,12,4,0,26,40,2021-12-04 00:26:40
321,106.46570587158203,1.4309968948364258,2021,12,4,0,26,45,2021-12-04 00:26:45
330,101.83658599853516,1.3353146314620972,2021,12,4,0,27,30,2021-12-04 00:27:30
331,101.81084442138672,1.3649779558181763,2021,12,4,0,27,35,2021-12-04 00:27:35
332,101.85346221923828,1.1346051692962646,2021,12,4,0,27,40,2021-12-04 00:27:40
333,101.21702575683594,1.1670597791671753,2021,12,4,0,27,45,2021-12-04 00:27:45
334,100.30545806884766,1.171282410621643,2021,12,4,0,27,50,2021-12-04 00:27:50
335,99.40886688232422,0.9192068576812744,2021,12,4,0,27,55,2021-12-04 00:27:55
336,105.37513732910156,1.1270076036453247,2021,12,4,0,28,0,2021-12-04 00:28:00
337,106.48330688476562,1.1451321840286255,2021,12,4,0,28,5,2021-12-04 00:28:05
338,103.50801086425781,1.2172174453735352,2021,12,4,0,28,10,2021-12-04 00:28:10
339,103.46214294433594,1.0658214092254639,2021,12,4,0,28,15,2021-12-04 00:28:15
340,100.16162872314453,1.2181260585784912,2021,12,4,0,28,20,2021-12-04 00:28:20
341,100.22480773925781,1.1209332942962646,2021,12,4,0,28,25,2021-12-04 00:28:25
342,100.00096893310547,1.3452128171920776,2021,12,4,0,28,30,2021-12-04 00:28:30
343,99.97522735595703,1.4790397882461548,2021,12,4,0,28,35,2021-12-04 00:28:35
344,100.0178451538086,1.2080188989639282,2021,12,4,0,28,40,2021-12-04 00:28:40
345,99.70164489746094,1.2404735088348389,2021,12,4,0,28,45,2021-12-04 00:28:45
346,99.66436767578125,1.2364826202392578,2021,12,4,0,28,50,2021-12-04 00:28:50
347,99.8084945678711,1.4265106916427612,2021,12,4,0,28,55,2021-12-04 00:28:55
348,105.20330047607422,1.1807750463485718,2021,12,4,0,29,0,2021-12-04 00:29:00
349,105.15032958984375,1.0827490091323853,2021,12,4,0,29,5,2021-12-04 00:29:05
350,101.7532958984375,1.2498952150344849,2021,12,4,0,29,10,2021-12-04 00:29:10
351,102.23346710205078,1.0984991788864136,2021,12,4,0,29,15,2021-12-04 00:29:15
352,98.93295288085938,1.2064427137374878,2021,12,4,0,29,20,2021-12-04 00:29:20
353,98.99613189697266,1.1584899425506592,2021,12,4,0,29,25,2021-12-04 00:29:25
354,99.02064514160156,1.3827697038650513,2021,12,4,0,29,30,2021-12-04 00:29:30
355,98.99490356445312,1.8079769611358643,2021,12,4,0,29,35,2021-12-04 00:29:35
356,99.03752136230469,1.5803731679916382,2021,12,4,0,29,40,2021-12-04 00:29:40
357,99.5174560546875,1.6128277778625488,2021,12,4,0,29,45,2021-12-04 00:29:45
358,99.48017883300781,1.6088368892669678,2021,12,4,0,29,50,2021-12-04 00:29:50
359,100.23304748535156,1.4114124774932861,2021,12,4,0,29,55,2021-12-04 00:29:55
360,104.66413116455078,1.3400510549545288,2021,12,4,0,30,0,2021-12-04 00:30:00
361,105.30319213867188,1.276700735092163,2021,12,4,0,30,5,2021-12-04 00:30:05
362,101.90615844726562,1.3856693506240845,2021,12,4,0,30,10,2021-12-04 00:30:10
363,102.3863296508789,1.3654096126556396,2021,12,4,0,30,15,2021-12-04 00:30:15
364,98.9768295288086,1.7059341669082642,2021,12,4,0,30,20,2021-12-04 00:30:20
365,99.04000854492188,1.6270371675491333,2021,12,4,0,30,25,2021-12-04 00:30:25
366,98.77356719970703,1.9072957038879395,2021,12,4,0,30,30,2021-12-04 00:30:30
367,98.7478256225586,2.051539897918701,2021,12,4,0,30,35,2021-12-04 00:30:35
368,98.51313781738281,1.8759846687316895,2021,12,4,0,30,40,2021-12-04 00:30:40
369,98.99307250976562,2.0353434085845947,2021,12,4,0,30,45,2021-12-04 00:30:45
370,98.95579528808594,1.7777044773101807,2021,12,4,0,30,50,2021-12-04 00:30:50
371,99.26995849609375,1.5802799463272095,2021,12,4,0,30,55,2021-12-04 00:30:55
372,103.35717010498047,1.0893794298171997,2021,12,4,0,31,0,2021-12-04 00:31:00
373,103.99623107910156,0.9229276180267334,2021,12,4,0,31,5,2021-12-04 00:31:05
374,100.59919738769531,1.1513400077819824,2021,12,4,0,31,10,2021-12-04 00:31:10
375,101.5667953491211,1.1357728242874146,2021,12,4,0,31,15,2021-12-04 00:31:15
376,98.15729522705078,1.4006752967834473,2021,12,4,0,31,20,2021-12-04 00:31:20
377,98.22047424316406,1.2719496488571167,2021,12,4,0,31,25,2021-12-04 00:31:25
378,98.4188003540039,1.510384440422058,2021,12,4,0,31,30,2021-12-04 00:31:30
379,98.39305877685547,1.9301989078521729,2021,12,4,0,31,35,2021-12-04 00:31:35
380,98.15837097167969,1.7029904127120972,2021,12,4,0,31,40,2021-12-04 00:31:40
381,98.50682830810547,1.8623489141464233,2021,12,4,0,31,45,2021-12-04 00:31:45
382,98.32596588134766,1.9791938066482544,2021,12,4,0,31,50,2021-12-04 00:31:50
383,98.64012908935547,1.6961824893951416,2021,12,4,0,31,55,2021-12-04 00:31:55
384,102.39752960205078,0.9356391429901123,2021,12,4,0,32,0,2021-12-04 00:32:00
385,103.2781753540039,0.7691875100135803,2021,12,4,0,32,5,2021-12-04 00:32:05
386,99.88114929199219,1.066678524017334,2021,12,4,0,32,10,2021-12-04 00:32:10
387,100.26940155029297,1.0384832620620728,2021,12,4,0,32,15,2021-12-04 00:32:15
388,96.26533508300781,1.1256076097488403,2021,12,4,0,32,20,2021-12-04 00:32:20
389,96.3285140991211,1.0467108488082886,2021,12,4,0,32,25,2021-12-04 00:32:25
390,96.52684020996094,1.2851455211639404,2021,12,4,0,32,30,2021-12-04 00:32:30
391,96.74336242675781,1.5767815113067627,2021,12,4,0,32,35,2021-12-04 00:32:35
392,96.58206176757812,1.2981122732162476,2021,12,4,0,32,40,2021-12-04 00:32:40
393,96.9305191040039,1.6699178218841553,2021,12,4,0,32,45,2021-12-04 00:32:45
394,96.89324188232422,1.9124855995178223,2021,12,4,0,32,50,2021-12-04 00:32:50
395,97.20740509033203,1.4506276845932007,2021,12,4,0,32,55,2021-12-04 00:32:55
396,103.36649322509766,1.5548467636108398,2021,12,4,0,33,0,2021-12-04 00:33:00
397,104.24714660644531,1.3712143898010254,2021,12,4,0,33,5,2021-12-04 00:33:05
398,100.39371490478516,1.6756840944290161,2021,12,4,0,33,10,2021-12-04 00:33:10
399,99.67891693115234,1.6474887132644653,2021,12,4,0,33,15,2021-12-04 00:33:15
400,95.8261489868164,1.7202259302139282,2021,12,4,0,33,20,2021-12-04 00:33:20
401,95.88932800292969,1.6540406942367554,2021,12,4,0,33,25,2021-12-04 00:33:25
402,96.08765411376953,1.8924757242202759,2021,12,4,0,33,30,2021-12-04 00:33:30
403,96.29643249511719,2.451662540435791,2021,12,4,0,33,35,2021-12-04 00:33:35
404,95.27655029296875,1.9846802949905396,2021,12,4,0,33,40,2021-12-04 00:33:40
405,95.62500762939453,1.9237663745880127,2021,12,4,0,33,45,2021-12-04 00:33:45
406,94.96076202392578,2.0890276432037354,2021,12,4,0,33,50,2021-12-04 00:33:50
407,95.1980972290039,1.8060157299041748,2021,12,4,0,33,55,2021-12-04 00:33:55
408,103.87815856933594,1.336134433746338,2021,12,4,0,34,0,2021-12-04 00:34:00
409,104.5124282836914,1.5352747440338135,2021,12,4,0,34,5,2021-12-04 00:34:05
410,101.11539459228516,1.8496092557907104,2021,12,4,0,34,10,2021-12-04 00:34:10
411,100.48181915283203,1.8214141130447388,2021,12,4,0,34,15,2021-12-04 00:34:15
412,96.6290512084961,1.626898169517517,2021,12,4,0,34,20,2021-12-04 00:34:20
413,96.69223022460938,1.343906283378601,2021,12,4,0,34,25,2021-12-04 00:34:25
414,96.89055633544922,1.5590654611587524,2021,12,4,0,34,30,2021-12-04 00:34:30
415,96.5582504272461,2.398733615875244,2021,12,4,0,34,35,2021-12-04 00:34:35
416,95.4508285522461,2.040205240249634,2021,12,4,0,34,40,2021-12-04 00:34:40
417,94.68313598632812,1.97929048538208,2021,12,4,0,34,45,2021-12-04 00:34:45
418,94.01889038085938,1.9896254539489746,2021,12,4,0,34,50,2021-12-04 00:34:50
419,95.25437927246094,1.792201042175293,2021,12,4,0,34,55,2021-12-04 00:34:55
420,103.5306625366211,1.1332263946533203,2021,12,4,0,35,0,2021-12-04 00:35:00
421,104.47368621826172,0.8734140396118164,2021,12,4,0,35,5,2021-12-04 00:35:05
422,101.5393295288086,1.1438841819763184,2021,12,4,0,35,10,2021-12-04 00:35:10
423,100.82062530517578,1.1852599382400513,2021,12,4,0,35,15,2021-12-04 00:35:15
424,97.07684326171875,1.2579973936080933,2021,12,4,0,35,20,2021-12-04 00:35:20
425,96.62169647216797,1.215113878250122,2021,12,4,0,35,25,2021-12-04 00:35:25
426,96.13653564453125,1.507420301437378,2021,12,4,0,35,30,2021-12-04 00:35:30
427,95.80422973632812,2.1058785915374756,2021,12,4,0,35,35,2021-12-04 00:35:35
428,94.69680786132812,1.7692716121673584,2021,12,4,0,35,40,2021-12-04 00:35:40
429,95.0452651977539,1.7897192239761353,2021,12,4,0,35,45,2021-12-04 00:35:45
430,94.95716857910156,1.396680474281311,2021,12,4,0,35,50,2021-12-04 00:35:50
431,95.26363372802734,1.508169412612915,2021,12,4,0,35,55,2021-12-04 00:35:55
432,102.86078643798828,1.0380219221115112,2021,12,4,0,36,0,2021-12-04 00:36:00
433,102.88884735107422,0.7962250113487244,2021,12,4,0,36,5,2021-12-04 00:36:05
434,99.9544906616211,1.0982179641723633,2021,12,4,0,36,10,2021-12-04 00:36:10
435,100.38409423828125,1.0142053365707397,2021,12,4,0,36,15,2021-12-04 00:36:15
436,97.52059173583984,1.1848167181015015,2021,12,4,0,36,20,2021-12-04 00:36:20
437,97.06544494628906,1.110182285308838,2021,12,4,0,36,25,2021-12-04 00:36:25
438,96.9853515625,1.4024887084960938,2021,12,4,0,36,30,2021-12-04 00:36:30
439,97.73153686523438,1.8399099111557007,2021,12,4,0,36,35,2021-12-04 00:36:35
440,97.63004302978516,1.4135299921035767,2021,12,4,0,36,40,2021-12-04 00:36:40
441,97.43162536621094,1.4339776039123535,2021,12,4,0,36,45,2021-12-04 00:36:45
442,98.20829772949219,1.242226481437683,2021,12,4,0,36,50,2021-12-04 00:36:50
443,98.33168029785156,1.5878267288208008,2021,12,4,0,36,55,2021-12-04 00:36:55
444,102.67394256591797,1.425231695175171,2021,12,4,0,37,0,2021-12-04 00:37:00
445,102.6247787475586,1.1990652084350586,2021,12,4,0,37,5,2021-12-04 00:37:05
446,99.6904296875,1.4108306169509888,2021,12,4,0,37,10,2021-12-04 00:37:10
447,99.06505584716797,1.2708970308303833,2021,12,4,0,37,15,2021-12-04 00:37:15
448,95.48968505859375,1.4415085315704346,2021,12,4,0,37,20,2021-12-04 00:37:20
449,95.03453826904297,1.1803762912750244,2021,12,4,0,37,25,2021-12-04 00:37:25
450,95.39707946777344,1.4726827144622803,2021,12,4,0,37,30,2021-12-04 00:37:30
451,95.48445129394531,1.4523805379867554,2021,12,4,0,37,35,2021-12-04 00:37:35
452,94.87935638427734,1.1342439651489258,2021,12,4,0,37,40,2021-12-04 00:37:40
453,94.68093872070312,1.1546915769577026,2021,12,4,0,37,45,2021-12-04 00:37:45
454,95.82444763183594,1.0196962356567383,2021,12,4,0,37,50,2021-12-04 00:37:50
455,95.96495056152344,1.365296483039856,2021,12,4,0,37,55,2021-12-04 00:37:55
456,104.22864532470703,1.9230188131332397,2021,12,4,0,38,0,2021-12-04 00:38:00
457,103.06660461425781,1.310234785079956,2021,12,4,0,38,5,2021-12-04 00:38:05
458,99.71630859375,1.574079990386963,2021,12,4,0,38,10,2021-12-04 00:38:10
459,99.09093475341797,1.9265891313552856,2021,12,4,0,38,15,2021-12-04 00:38:15
460,95.89285278320312,2.173783540725708,2021,12,4,0,38,20,2021-12-04 00:38:20
461,95.79840850830078,1.890417456626892,2021,12,4,0,38,25,2021-12-04 00:38:25
462,96.28684997558594,2.1055777072906494,2021,12,4,0,38,30,2021-12-04 00:38:30
463,96.0323715209961,1.9404175281524658,2021,12,4,0,38,35,2021-12-04 00:38:35
464,95.95500183105469,1.9484405517578125,2021,12,4,0,38,40,2021-12-04 00:38:40
465,96.81564331054688,1.985071063041687,2021,12,4,0,38,45,2021-12-04 00:38:45
466,96.74429321289062,1.8124029636383057,2021,12,4,0,38,50,2021-12-04 00:38:50
467,96.30848693847656,1.5935603380203247,2021,12,4,0,38,55,2021-12-04 00:38:55
468,101.34326934814453,2.0878913402557373,2021,12,4,0,39,0,2021-12-04 00:39:00
469,100.49174499511719,1.6285980939865112,2021,12,4,0,39,5,2021-12-04 00:39:05
470,97.14144897460938,1.9013659954071045,2021,12,4,0,39,10,2021-12-04 00:39:10
471,97.05296325683594,1.764923095703125,2021,12,4,0,39,15,2021-12-04 00:39:15
472,93.8548812866211,1.7968907356262207,2021,12,4,0,39,20,2021-12-04 00:39:20
473,93.76043701171875,1.7496957778930664,2021,12,4,0,39,25,2021-12-04 00:39:25
474,93.68034362792969,2.0116515159606934,2021,12,4,0,39,30,2021-12-04 00:39:30
475,93.81666564941406,1.9631543159484863,2021,12,4,0,39,35,2021-12-04 00:39:35
476,93.39152526855469,1.5825612545013428,2021,12,4,0,39,40,2021-12-04 00:39:40
477,95.14539337158203,1.3049290180206299,2021,12,4,0,39,45,2021-12-04 00:39:45
478,95.07404327392578,1.0222246646881104,2021,12,4,0,39,50,2021-12-04 00:39:50
479,95.16905212402344,0.900450587272644,2021,12,4,0,39,55,2021-12-04 00:39:55
480,102.5009536743164,1.1722320318222046,2021,12,4,0,40,0,2021-12-04 00:40:00
481,101.73359680175781,0.7221763730049133,2021,12,4,0,40,5,2021-12-04 00:40:05
482,98.67333221435547,1.1476653814315796,2021,12,4,0,40,10,2021-12-04 00:40:10
483,99.96366882324219,0.8926755785942078,2021,12,4,0,40,15,2021-12-04 00:40:15
