,value__bpm,value__confidence
2021-12-03 00:35:30,,
2021-12-03 00:35:35,,
2021-12-03 00:35:40,,
2021-12-03 00:35:45,,
2021-12-03 00:35:50,,
2021-12-03 00:35:55,,
2021-12-03 00:36:00,,
2021-12-03 00:36:05,,
2021-12-03 00:36:10,,
2021-12-03 00:36:15,,
2021-12-03 00:36:20,,
2021-12-03 00:36:25,,
2021-12-03 00:36:30,,
2021-12-03 00:36:35,,
2021-12-03 00:36:40,,
2021-12-03 00:36:45,,
2021-12-03 00:36:50,,
2021-12-03 00:36:55,,
2021-12-03 00:37:00,,
2021-12-03 00:37:05,,
2021-12-03 00:37:10,,
2021-12-03 00:37:15,,
2021-12-03 00:37:20,,
2021-12-03 00:37:25,,
2021-12-03 00:37:30,,
2021-12-03 00:37:35,,
2021-12-03 00:37:40,,
2021-12-03 00:37:45,,
2021-12-03 00:37:50,,
2021-12-03 00:37:55,,
2021-12-03 00:38:00,,
2021-12-03 00:38:05,,
2021-12-03 00:38:10,,
2021-12-03 00:38:15,,
2021-12-03 00:38:20,,
2021-12-03 00:38:25,,
2021-12-03 00:38:30,,
2021-12-03 00:38:35,,
2021-12-03 00:38:40,,
2021-12-03 00:38:45,,
2021-12-03 00:38:50,,
2021-12-03 00:38:55,,
2021-12-03 00:39:00,,
2021-12-03 00:39:05,,
2021-12-03 00:39:10,,
2021-12-03 00:39:15,,
2021-12-03 00:39:20,,
2021-12-03 00:39:25,,
2021-12-03 00:39:30,,
2021-12-03 00:39:35,,
2021-12-03 00:39:40,,
2021-12-03 00:39:45,,
2021-12-03 00:39:50,,
2021-12-03 00:39:55,,
2021-12-03 00:40:00,,
2021-12-03 00:40:05,,
2021-12-03 00:40:10,,
2021-12-03 00:40:15,,
2021-12-03 00:40:20,,
2021-12-03 00:40:25,,
2021-12-03 00:40:30,,
2021-12-03 00:40:35,,
2021-12-03 00:40:40,,
2021-12-03 00:40:45,,
2021-12-03 00:40:50,,
2021-12-03 00:40:55,,
2021-12-03 00:41:00,,
2021-12-03 00:41:05,,
2021-12-03 00:41:10,,
2021-12-03 00:41:15,,
2021-12-03 00:41:20,,
2021-12-03 00:41:25,,
2021-12-03 00:41:30,,
2021-12-03 00:41:35,,
2021-12-03 00:41:40,,
2021-12-03 00:41:45,,
2021-12-03 00:41:50,,
2021-12-03 00:41:55,,
2021-12-03 00:42:00,,
2021-12-03 00:42:05,,
2021-12-03 00:42:10,,
2021-12-03 00:42:15,,
2021-12-03 00:42:20,,
2021-12-03 00:42:25,,
2021-12-03 00:42:30,,
2021-12-03 00:42:35,,
2021-12-03 00:42:40,,
2021-12-03 00:42:45,,
2021-12-03 00:42:50,,
2021-12-03 00:42:55,,
2021-12-03 00:43:00,,
2021-12-03 00:43:05,,
2021-12-03 00:43:10,,
2021-12-03 00:43:15,,
2021-12-03 00:43:20,,
2021-12-03 00:43:25,,
2021-12-03 00:43:30,,
2021-12-03 00:43:35,,
2021-12-03 00:43:40,,
2021-12-03 00:43:45,,
2021-12-03 00:43:50,,
2021-12-03 00:43:55,,
2021-12-03 00:44:00,,
2021-12-03 00:44:05,,
2021-12-03 00:44:10,,
2021-12-03 00:44:15,,
2021-12-03 00:44:20,,
2021-12-03 00:44:25,,
2021-12-03 00:44:30,,
2021-12-03 00:44:35,,
2021-12-03 00:44:40,,
2021-12-03 00:44:45,,
2021-12-03 00:44:50,,
2021-12-03 00:44:55,,
2021-12-03 00:45:00,,
2021-12-03 00:45:05,,
2021-12-03 00:45:10,,
2021-12-03 00:45:15,,
2021-12-03 00:45:20,,
2021-12-03 00:45:25,,
2021-12-03 00:45:30,,
2021-12-03 00:45:35,,
