iter	Passed	Remaining
411	3789	5407
412	3793	5392
413	3801	5381
414	3805	5364
415	3820	5363
416	3830	5355
417	3849	5359
418	3859	5352
419	3886	5367
420	3892	5353
421	3903	5346
422	3914	5339
423	3921	5327
424	3932	5320
425	3943	5313
426	3951	5302
427	3957	5289
428	3964	5277
429	3978	5274
430	3991	5269
431	4000	5259
432	4010	5252
433	4025	5250
434	4042	5250
435	4046	5234
436	4063	5235
437	4081	5236
438	4087	5223
439	4103	5222
440	4110	5210
441	4121	5202
442	4125	5186
443	4137	5181
444	4149	5174
445	4157	5164
446	4170	5158
447	4176	5146
448	4190	5142
449	4207	5142
450	4213	5129
451	4225	5122
452	4229	5107
453	4242	5101
454	4246	5086
455	4263	5086
456	4270	5074
457	4278	5063
458	4286	5052
459	4294	5041
460	4305	5033
461	4310	5019
462	4318	5008
463	4333	5006
464	4337	4989
465	4353	4988
466	4364	4981
467	4373	4971
468	4386	4966
469	4391	4951
470	4400	4942
471	4409	4932
472	4417	4921
473	4424	4909
474	4432	4899
475	4439	4887
476	4452	4881
477	4463	4874
478	4468	4860
479	4481	4855
480	4486	4841
481	4501	4837
482	4512	4829
483	4516	4814
484	4529	4809
485	4533	4795
486	4541	4783
487	4554	4778
488	4569	4775
489	4578	4765
490	4586	4754
491	4593	4743
492	4601	4732
493	4610	4722
494	4613	4707
495	4623	4697
496	4630	4685
497	4635	4672
498	4645	4664
499	4651	4651
500	4666	4647
501	4681	4644
502	4690	4634
503	4698	4624
504	4706	4612
505	4716	4604
506	4721	4591
507	4732	4583
508	4738	4570
509	4746	4560
510	4754	4549
511	4769	4545
512	4776	4534
513	4788	4528
514	4792	4513
515	4803	4505
516	4807	4491
517	4816	4481
518	4823	4470
519	4828	4456
520	4833	4444
521	4839	4431
522	4844	4418
523	4859	4414
524	4863	4399
525	4875	4393
526	4879	4379
527	4885	4367
528	4890	4353
529	4895	4341
530	4906	4333
531	4916	4325
532	4929	4319
533	4934	4306
534	4939	4293
535	4955	4289
536	4960	4276
537	4974	4271
538	4978	4257
539	4984	4245
540	4989	4232
541	4994	4220
542	5006	4213
543	5012	4201
544	5026	4196
545	5040	4191
546	5045	4178
547	5059	4172
548	5067	4163
549	5077	4154
550	5095	4151
551	5099	4138
552	5109	4130
553	5115	4118
554	5126	4110
555	5133	4099
556	5142	4090
557	5149	4079
558	5152	4065
559	5167	4059
560	5183	4056
561	5188	4043
562	5200	4037
563	5206	4024
564	5213	4014
565	5219	4001
566	5225	3990
567	5232	3979
568	5240	3969
569	5248	3959
570	5258	3950
571	5268	3942
572	5283	3936
573	5286	3923
574	5295	3914
575	5302	3903
576	5305	3889
577	5315	3880
578	5320	3868
579	5324	3855
580	5334	3847
581	5339	3835
582	5347	3824
583	5351	3812
584	5356	3799
585	5366	3791
586	5372	3779
587	5390	3777
588	5396	3765
589	5411	3760
590	5417	3748
591	5429	3741
592	5436	3731
593	5451	3725
594	5462	3718
595	5473	3709
596	5479	3699
597	5485	3687
598	5501	3683
599	5512	3675
600	5524	3667
601	5529	3655
602	5544	3650
603	5549	3638
604	5563	3632
605	5576	3625
606	5580	3613
607	5590	3604
608	5600	3595
609	5608	3585
610	5615	3575
611	5619	3562
612	5628	3553
613	5634	3542
614	5643	3532
615	5649	3521
616	5659	3513
617	5668	3503
618	5678	3495
619	5692	3488
620	5700	3479
621	5714	3472
622	5723	3463
623	5732	3454
624	5739	3443
625	5747	3434
626	5754	3423
627	5766	3415
628	5770	3403
629	5774	3391
630	5784	3382
631	5788	3370
632	5792	3358
633	5805	3351
634	5809	3339
635	5818	3329
636	5825	3319
637	5836	3311
638	5845	3302
639	5855	3293
640	5861	3282
641	5866	3271
642	5872	3260
643	5878	3249
644	5884	3238
645	5893	3229
646	5911	3225
647	5920	3215
648	5929	3206
649	5934	3195
650	5947	3188
651	5958	3180
652	5966	3170
653	5977	3162
654	5987	3153
655	5999	3146
656	6014	3140
657	6019	3128
658	6034	3122
659	6041	3112
660	6049	3102
661	6059	3093
662	6066	3083
663	6071	3072
664	6077	3061
665	6087	3052
666	6091	3041
667	6096	3029
668	6105	3020
669	6109	3009
670	6124	3003
671	6131	2992
672	6164	2995
673	6168	2983
674	6178	2974
675	6188	2966
676	6195	2955
677	6202	2945
678	6217	2939
679	6223	2928
680	6229	2917
681	6238	2909
682	6255	2903
683	6259	2891
684	6264	2880
685	6274	2872
686	6280	2861
687	6294	2854
688	6304	2845
689	6313	2836
690	6332	2831
691	6342	2823
692	6355	2815
693	6370	2808
694	6374	2797
695	6383	2788
696	6388	2777
697	6393	2766
698	6406	2758
699	6421	2752
700	6427	2741
701	6435	2731
702	6443	2722
703	6456	2714
704	6468	2706
705	6472	2695
706	6477	2684
707	6482	2673
708	6491	2664
709	6500	2654
710	6510	2646
711	6523	2638
712	6528	2627
713	6532	2616
714	6541	2607
715	6547	2597
716	6560	2589
717	6565	2578
718	6574	2569
719	6581	2559
720	6589	2549
721	6595	2539
722	6599	2528
723	6612	2520
724	6617	2510
725	6626	2500
726	6632	2490
727	6640	2480
728	6646	2470
729	6654	2461
730	6661	2451
731	6669	2441
732	6673	2430
733	6680	2420
734	6687	2411
735	6691	2400
736	6702	2391
737	6710	2382
738	6717	2372
739	6722	2361
740	6728	2351
741	6740	2343
742	6745	2333
743	6759	2325
744	6763	2314
745	6772	2305
746	6778	2295
747	6787	2286
748	6795	2277
749	6800	2266
750	6805	2256
751	6818	2248
752	6831	2240
753	6837	2230
754	6843	2220
755	6851	2211
756	6863	2203
757	6882	2197
758	6887	2186
759	6897	2178
